ds,bioenergy,coal,gas,hydro,nuclear,oil,solar,wind,year,bioenergy_emission,solar_emission,wind_emission,hydro_emission,nuclear_emission,oil_emission,gas_emission,coal_emission,total_emission_MtCO2
2023-01-01,37.22604029943053,1428.7089490046023,55.88676497759308,164.2340245220589,50.07643910558434,2.0791761222370297,109.52415201497804,78.56688290032868,2023,1.4890416119772212,4.928586840674011,0.8642357119036154,0.6569360980882356,0.6009172692670122,1.538590330455402,27.38451483902061,1171.5413381837739,1209.00416088516
2024-01-01,38.75466455248821,1484.5897506275237,53.0090314265987,167.94183926307895,51.95908063332843,1.1673794026988995,124.30914827657551,83.48274320588074,2024,1.5501865820995284,5.5939116724458975,0.9183101752646881,0.6717673570523158,0.6235089675999412,0.8638607579971856,25.974425399033365,1217.3635955145694,1253.5595664260622
2024-12-31,40.28328880554587,1540.4705522504453,50.131297875604325,171.649654004099,53.84172216107252,0.2555826831607695,139.094144538173,88.39860351143281,2024,1.611331552221835,6.259236504217784,0.9723846386257609,0.686598616016396,0.6461006659328702,0.1891311855389694,24.56433595904612,1263.1858528453652,1298.114971966965
2025-12-31,41.81191305860354,1596.3513538733669,47.25356432460995,175.3574687451191,55.72436368881661,-0.6562140363773605,153.87914079977048,93.31446381698488,2025,1.6724765223441416,6.924561335989671,1.0264591019868337,0.7014298749804764,0.6686923642657994,-0.4855983869192468,23.154246519058873,1309.0081101761607,1342.6703775078672
2026-12-31,43.34053731166125,1652.2321554962891,44.37583077361557,179.0652834861392,57.60700521656071,-1.5680107559154974,168.6641370613682,98.23032412253698,2026,1.7336214924664501,7.589886167761568,1.0805335653479067,0.7162611339445568,0.6912840625987285,-1.160327959377468,21.744157079071627,1354.830367506957,1387.2257830487704
2027-12-31,44.86916156471891,1708.1129571192107,41.49809722262119,182.77309822715927,59.48964674430479,-2.479807475453621,183.44913332296568,103.14618442808904,2027,1.7947664625887563,8.255210999533455,1.1346080287089795,0.731092392908637,0.7138757609316575,-1.8350575318356794,20.334067639084385,1400.6526248377527,1431.7811885896729
2028-12-31,46.40197382942879,1764.1468568287703,38.61247947011724,186.4910713647301,61.37744619404269,-3.3941022681959665,198.27463642363605,108.07551284406732,2028,1.8560789531771515,8.922358639063622,1.1888306412847405,0.7459642854589204,0.7365293543285123,-2.5116356784650153,18.92011494035745,1446.6004225995916,1476.458663734797
2029-12-31,47.93059808248647,1820.027658451692,35.734745919122865,190.19888610575012,63.26008772178678,-4.305898987734096,213.0596326852335,112.99137314961938,2029,1.9172239232994588,9.587683470835508,1.242905104645813,0.7607955444230005,0.7591210526614414,-3.1863652509232314,17.510025500370205,1492.4226799303874,1521.0140692756995
2030-12-31,49.45922233554414,1875.9084600746128,32.857012368128494,193.90670084677024,65.14272924953087,-5.2176957072722265,227.844628946831,117.90723345517144,2030,1.9783688934217656,10.253008302607395,1.2969795680068856,0.775626803387081,0.7817127509943705,-3.8610948233814475,16.099936060382962,1538.2449372611825,1565.5694748166015
2031-12-31,50.987846588601805,1931.7892616975348,29.979278817134112,197.6145155877903,67.02537077727494,-6.12949242681035,242.62962520842848,122.82309376072352,2031,2.039513863544072,10.918333134379282,1.3510540313679587,0.7904580623511612,0.8043044493272994,-4.535824395839659,14.689846620395715,1584.0671945919785,1610.1248803575043
2032-12-31,52.5206588533117,1987.823161407095,27.09366106463014,201.3324887253611,68.91317022701287,-7.043787219552702,257.45512830909894,127.75242217670178,2032,2.100826354132468,11.585480773909453,1.4052766439437196,0.8053299549014443,0.8269580427241544,-5.2124025424689995,13.275893921668768,1630.014992353818,1654.8023555026289
2033-12-31,54.04928310636939,2043.703963030017,24.215927513635787,205.0403034663812,70.79581175475695,-7.955583939090832,272.2401245706964,132.66828248225386,2033,2.1619713242547753,12.25080560568134,1.4593511073047924,0.8201612138655249,0.8495497410570835,-5.8871321149272156,11.865804481681536,1675.8372496846137,1699.3577610435316
